Top 100,Name,Pos,Org,Org Rk,Age
,Christian Franklin,CF,CHC,24,22.6833333
,Aaron Zavala,RF,TEX,14,22.1166666
,Maximo Acosta,SS,TEX,16,19.7694444
,Ryan Clifford,LF,HOU,7,19.0444444
,David Hensley,3B,HOU,9,26.3555555
,Joe Perez,3B,HOU,10,22.9833333
,Samuel Zavala,RF,SDP,4,18.0583333
,Emmanuel Rodriguez,CF,MIN,14,19.4333333
,Misael Urbina,LF,MIN,15,20.275
,Wes Kath,3B,CHW,9,20.0083333
,A.J. Vukovich,1B,ARI,13,21.0444444
,Gabriel Martinez,RF,TOR,7,21.0333333
,Manuel Pena,3B,ARI,15,18.6694444
,Cade Doughty,3B,TOR,9,21.3611111
,Tucker Toman,2B,TOR,10,18.7333333
,Rikelbin De Castro,SS,TOR,11,19.5361111
,Maikel Garcia,SS,KCR,8,22.425
,Cayden Wallace,3B,KCR,11,20.9972222
,Drew Waters,CF,KCR,12,23.6
,Lazaro Montes,RF,SEA,7,17.7888888
,Edwin Arroyo,SS,CIN,12,18.9472222
,Austin Hendrick,RF,CIN,13,21.1416666
,Cade Hunter,C,CIN,15,21.6861111
,Jay Allen II,CF,CIN,16,19.7055555
,Rece Hinds,RF,CIN,17,21.9194444
,Yerlin Confidan,RF,CIN,20,19.6388888
,Diego Benitez,3B,ATL,7,17.7138888
,Matheu Nelson,C,CIN,21,23.5611111
,Geraldo Quintero,SS,ATL,9,20.8222222
,Edgar Quero,C,LAA,7,19.3333333
,Denzer Guzman,SS,LAA,8,18.4944444
,Adrian Placencia,2B,LAA,10,19.1777777
,Ford Proctor,C,SFG,14,25.6722222
,Jeremiah Jackson,SS,LAA,11,22.3611111
,Patrick Bailey,C,SFG,15,23.1861111
,Jordyn Adams,CF,LAA,12,22.8
,Casey Schmitt,3B,SFG,16,23.4305555
,Werner Blakely,3B,LAA,13,20.4583333
,Luis Toribio,3B,SFG,17,21.8555555
,Leandro Arias,SS,BAL,13,17.5027777
,Connor Norby,2B,BAL,14,22.1611111
,Cesar Prieto,2B,BAL,15,23.2388888
,Reed Trimble,CF,BAL,18,22.1666666
,Jhonkensy Noel,1B,CLE,20,21.0583333
,Max Muncy,SS,OAK,12,19.9472222
,Angel Genao,SS,CLE,23,18.2138888
,Jonah Bride,C,OAK,15,26.6083333
,Isaiah Greene,CF,CLE,24,20.9361111
,Jordan Diaz,3B,OAK,16,21.9805555
,Lawrence Butler,1B,OAK,17,22.0722222
,Alec Burleson,RF,STL,9,23.6972222
,Jonathan Mejia,SS,STL,11,17.3166666
