Top100,Name,Pos,Org,Age,H,W,B,T,Hit,Pitch Sel,Bat Ctrl,Game,Raw,Spd,Fld,FB Type,FB,SL,CB,CH,CMD,RPM FB,RPM Break,Sits,Tops,FV,playerId
,Cesar Prieto,2B,BAL,23.2388888,"5' 8""",170,L,R,50 / 60,45,70,30 / 40,40 / 40,50 / 50,30 / 45,,,,,,,,,,,40+,sa3018100
,Reed Trimble,CF,BAL,22.1666666,"6' 0""",180,S,R,30 / 40,30,50,35 / 50,50 / 55,60 / 60,45 / 60,,,,,,,,,,,40+,sa3017180
,Jhonkensy Noel,1B,CLE,21.0583333,"6' 1""",190,R,R,30 / 40,40,45,35 / 60,70 / 80,30 / 20,30 / 50,,,,,,,,,,,40+,sa3005579
,Max Muncy,SS,OAK,19.9472222,"6' 0""",176,R,R,20 / 45,45,45,20 / 55,45 / 55,50 / 50,45 / 50,,,,,,,,,,,40+,sa3017290
,Angel Genao,SS,CLE,18.2138888,"5' 11""",150,R,R,20 / 50,,30,20 / 45,35 / 45,50 / 50,35 / 45,,,,,,,,,,,40+,sa3015706
,Jonah Bride,C,OAK,26.6083333,"5' 11""",198,R,R,60 / 60,60,60,35 / 35,40 / 40,40 / 40,30 / 40,,,,,,,,,,,40+,24703
,Isaiah Greene,CF,CLE,20.9361111,"6' 1""",180,L,L,30 / 40,60,40,30 / 50,45 / 60,60 / 60,45 / 55,,,,,,,,,,,40+,sa3014460
,Jordan Diaz,3B,OAK,21.9805555,"5' 10""",175,R,R,35 / 60,30,60,30 / 40,45 / 50,30 / 30,35 / 55,,,,,,,,,,,40+,sa3003221
,Lawrence Butler,1B,OAK,22.0722222,"6' 3""",210,L,L,30 / 35,50,40,35 / 60,60 / 70,50 / 45,30 / 40,,,,,,,,,,,40+,sa3006873
,Jonathan Mejia,SS,STL,17.3166666,"6' 0""",160,S,R,25 / 60,,55,20 / 45,30 / 45,55 / 55,40 / 55,,,,,,,,,,,40+,sa3018411
,Wilman Diaz,SS,LAD,18.725,"6' 0""",170,R,R,20 / 45,,60,20 / 40,40 / 50,60 / 60,45 / 60,,,,,,,,,,,40+,sa3015694
,Eddys Leonard,3B,LAD,21.7388888,"6' 0""",170,R,R,50 / 50,50,50,30 / 35,40 / 40,45 / 45,45 / 50,,,,,,,,,,,40,sa3005554
,Jonny DeLuca,RF,LAD,24.0722222,"6' 0""",200,R,R,30 / 45,50,45,30 / 40,45 / 50,50 / 50,30 / 50,,,,,,,,,,,40,sa3011644
,Ryan Noda,1B,LAD,26.35,"6' 3""",217,L,L,45 / 45,70,45,50 / 50,55 / 55,30 / 30,50 / 50,,,,,,,,,,,40,sa873960
,Brainer Bonaci,2B,BOS,20.075,"5' 10""",170,S,R,35 / 55,55,60,20 / 40,45 / 50,40 / 30,30 / 45,,,,,,,,,,,40,sa3008836
,Connor Wong,C,BOS,26.2138888,"6' 1""",180,R,R,30 / 35,30,45,40 / 45,50 / 50,50 / 50,45 / 50,,,,,,,,,,,40,19896
,"William, Jr. Bergolla",SS,PHI,17.8222222,"5' 11""",160,L,R,25 / 60,,55,20 / 40,30 / 40,55 / 60,45 / 60,,,,,,,,,,,40,
,Enmanuel Valdez,2B,BOS,23.6055555,"5' 9""",190,L,R,50 / 50,50,50,50 / 50,50 / 50,30 / 30,30 / 35,,,,,,,,,,,40,sa917288
,Niko Kavadas,DH,BOS,23.775,"6' 1""",235,L,R,35 / 45,60,40,55 / 60,65 / 65,30 / 30,45 / 45,,,,,,,,,,,40,sa3017337
,Elehuris Montero,3B,COL,23.9694444,"6' 3""",215,R,R,30 / 50,30,55,35 / 50,55 / 60,30 / 30,40 / 45,,,,,,,,,,,40,20543
,Jordan Viars,CF,PHI,19.05,"6' 4""",215,L,L,25 / 50,,,20 / 50,45 / 55,45 / 40,35 / 55,,,,,,,,,,,40,sa3017429
,Corey Rosier,CF,BOS,22.9138888,"5' 10""",184,L,R,30 / 50,55,55,30 / 35,40 / 40,70 / 70,40 / 55,,,,,,,,,,,40,sa3016961
,Jordan Beck,RF,COL,21.2972222,"6' 3""",225,R,R,30 / 40,50,45,35 / 55,55 / 60,50 / 50,30 / 50,,,,,,,,,,,40,
,Juan Chacon,CF,BOS,19.6722222,"6' 2""",170,R,R,20 / 50,,,20 / 50,40 / 50,60 / 55,45 / 55,,,,,,,,,,,40,sa3014676
,Donny Sands,C,PHI,26.2222222,"6' 2""",225,R,R,45 / 45,40,50,45 / 45,55 / 55,20 / 20,50 / 50,,,,,,,,,,,40,sa875201
,Matthew Lugo,SS,BOS,21.2416666,"6' 1""",187,R,R,30 / 45,45,50,30 / 40,40 / 50,55 / 55,45 / 50,,,,,,,,,,,40,sa1169598
,Casey Martin,SS,PHI,23.3305555,"5' 11""",180,R,R,30 / 35,20,50,35 / 45,55 / 60,80 / 80,30 / 45,,,,,,,,,,,40,sa3014524
,Simon Muzziotti,CF,PHI,23.6083333,"6' 1""",175,L,L,45 / 50,35,60,30 / 40,45 / 50,60 / 60,45 / 55,,,,,,,,,,,40,19553
,Jhailyn Ortiz,RF,PHI,23.7166666,"6' 3""",240,R,R,30 / 40,35,45,35 / 60,70 / 70,40 / 30,40 / 40,,,,,,,,,,,40,sa920180
,Yemal Flores,CF,PHI,18.7055555,"6' 1""",170,R,R,20 / 50,,,20 / 50,45 / 55,40 / 40,30 / 50,,,,,,,,,,,40,sa3015717
,Alika Williams,SS,TBR,23.4,"6' 2""",180,R,R,35 / 55,,60,20 / 30,35 / 40,60 / 60,50 / 60,,,,,,,,,,,40,sa3014427
,Luis Mendez,SS,COL,19.7666666,"5' 11""",157,L,R,25 / 55,,,20 / 35,30 / 40,60 / 60,45 / 55,,,,,,,,,,,40,sa3015650
,Tanner Murray,2B,TBR,22.925,"6' 2""",190,R,R,35 / 60,,,30 / 40,30 / 40,45 / 40,30 / 40,,,,,,,,,,,40,sa3016805
,Brenton Doyle,CF,COL,24.2277777,"6' 3""",210,R,R,30 / 40,45,45,30 / 55,60 / 60,60 / 60,40 / 50,,,,,,,,,,,40,sa3009965
,Kyle Manzardo,1B,TBR,22.05,"6' 1""",205,L,R,35 / 70,,,30 / 40,45 / 45,40 / 40,40 / 50,,,,,,,,,,,40,sa3017342
,Colton Welker,3B,COL,24.825,"6' 2""",195,R,R,55 / 60,45,60,35 / 40,50 / 50,30 / 30,40 / 40,,,,,,,,,,,40,19961
,Austin Shenton,3B,TBR,24.5388888,"6' 0""",230,L,R,40 / 45,55,45,30 / 50,55 / 55,30 / 30,40 / 45,,,,,,,,,,,40,sa3009869
,Hunter Goodman,C,COL,22.8277777,"6' 1""",210,L,R,30 / 40,55,40,35 / 55,60 / 60,30 / 30,30 / 35,,,,,,,,,,,40,sa3017173
,Diego Infante,RF,TBR,22.7888888,"6' 2""",205,R,R,30 / 40,,,35 / 55,60 / 60,45 / 40,40 / 50,,,,,,,,,,,40,sa3003280
,Miles Mastrobuoni,SS,TBR,26.7666666,"5' 11""",185,L,R,55 / 55,50,70,30 / 30,30 / 30,50 / 50,40 / 40,,,,,,,,,,,40,sa918318
,Chandler Simpson,2B,TBR,21.7166666,"6' 2""",170,L,R,35 / 60,,,20 / 30,30 / 30,80 / 80,35 / 40,,,,,,,,,,,40,
,Kamren James,3B,TBR,22.1972222,"6' 2""",205,R,R,30 / 45,,,30 / 45,45 / 50,45 / 45,35 / 60,,,,,,,,,,,40,
,JJ Bleday,RF,MIA,24.7388888,"6' 3""",205,L,L,40 / 40,60,40,45 / 50,55 / 55,40 / 40,55 / 55,,,,,,,,,,,40,26368
,Ronald Hernandez,C,MIA,18.7861111,"6' 1""",175,S,R,25 / 50,,,20 / 40,35 / 45,30 / 30,40 / 55,,,,,,,,,,,40,sa3015738
,Payton Henry,C,MIA,25.1166666,"6' 2""",215,R,R,30 / 35,50,40,40 / 45,60 / 60,30 / 30,45 / 45,,,,,,,,,,,40,22164
,Angeudis Santos,SS,MIA,20.8805555,"6' 2""",180,S,R,30 / 40,45,40,30 / 45,45 / 55,60 / 60,40 / 55,,,,,,,,,,,40,sa3009794
,Griffin Conine,RF,MIA,25.0694444,"6' 1""",213,L,R,20 / 20,55,30,50 / 60,80 / 80,45 / 40,45 / 50,,,,,,,,,,,40,sa876060
,Trei Cruz,2B,DET,24.0861111,"6' 2""",200,S,R,30 / 50,55,55,30 / 40,40 / 40,50 / 50,40 / 50,,,,,,,,,,,40,sa3014420
,Izaac Pacheco,3B,DET,19.7166666,"6' 4""",200,L,R,20 / 30,45,40,25 / 55,60 / 65,45 / 30,30 / 50,,,,,,,,,,,40,sa3016969
,Roberto Campos,RF,DET,19.1444444,"6' 3""",200,R,R,20 / 50,,,25 / 55,55 / 60,45 / 40,40 / 50,,,,,,,,,,,40,sa3014683
,Luke Gold,2B,DET,21.8222222,"6' 0""",210,R,R,30 / 50,50,55,35 / 50,55 / 60,40 / 40,20 / 35,,,,,,,,,,,40,
,Kody Clemens,2B,DET,26.225,"6' 1""",170,L,R,30 / 35,45,45,40 / 50,60 / 60,40 / 40,40 / 40,,,,,,,,,,,40,20572
,Manuel Sequera,2B,DET,19.8555555,"6' 1""",170,R,R,20 / 40,50,40,25 / 50,50 / 55,40 / 30,30 / 45,,,,,,,,,,,40,sa3015179
,Wenceel Perez,SS,DET,22.7666666,"5' 11""",195,S,R,35 / 55,55,50,30 / 30,40 / 40,60 / 60,50 / 50,,,,,,,,,,,40,sa3003326
,Yordany De Los Santos,3B,PIT,17.4694444,"6' 1""",170,R,R,20 / 45,,45,20 / 50,40 / 55,45 / 45,30 / 45,,,,,,,,,,,40,sa3018408
,Ali Sanchez,C,DET,25.5444444,"6' 0""",200,R,R,35 / 40,45,50,30 / 30,40 / 40,30 / 30,55 / 55,,,,,,,,,,,40,18551
,Jared Triolo,3B,PIT,24.4944444,"6' 3""",212,R,R,30 / 50,55,50,30 / 45,50 / 50,45 / 45,50 / 55,,,,,,,,,,,40,sa3010272
,Parker Meadows,CF,DET,22.7611111,"6' 5""",205,L,R,30 / 40,60,45,30 / 50,50 / 60,60 / 60,40 / 50,,,,,,,,,,,40,sa3007943
,Daniel Cabrera,LF,DET,23.9194444,"6' 1""",195,L,L,40 / 45,55,60,30 / 45,50 / 50,40 / 40,40 / 45,,,,,,,,,,,40,sa3014452
,"Tony Blanco, Jr.",RF,PIT,17.2277777,"6' 5""",230,R,R,20 / 40,,,25 / 60,50 / 70,40 / 30,20 / 40,,,,,,,,,,,40,
,Esteury Ruiz,CF,MIL,23.475,"6' 0""",169,R,R,30 / 35,35,45,40 / 40,50 / 50,70 / 70,35 / 45,,,,,,,,,,,40,21780
,Canaan Smith-Njigba,LF,PIT,23.2666666,"6' 0""",215,L,R,30 / 45,60,45,35 / 45,60 / 60,45 / 45,40 / 45,,,,,,,,,,,40,23264
,Abrahan Gutierrez,C,PIT,22.7666666,"6' 2""",214,R,R,35 / 55,,,30 / 35,40 / 40,20 / 20,,,,,,,,,,,,40,sa3004263
,Jared Oliva,CF,PIT,26.6916666,"6' 2""",205,R,R,40 / 40,55,45,40 / 45,55 / 55,60 / 60,45 / 50,,,,,,,,,,,40,19968
,Yohendrick Pinango,LF,CHC,20.2472222,"5' 11""",185,L,L,35 / 60,50,55,20 / 40,50 / 55,55 / 50,30 / 50,,,,,,,,,,,40,sa3009539
,Carlos Rodriguez,LF,MIL,21.6638888,"5' 10""",150,L,L,45 / 60,30,60,20 / 30,30 / 40,70 / 70,55 / 60,,,,,,,,,,,40,sa3005478
,Bryce Ball,1B,CHC,24.0777777,"6' 6""",255,L,R,30 / 45,60,45,35 / 60,70 / 70,40 / 40,45 / 50,,,,,,,,,,,40,sa1170451
,Hendry Mendez,CF,MIL,18.7472222,"6' 2""",175,L,L,25 / 60,40,60,20 / 40,40 / 50,50 / 50,40 / 50,,,,,,,,,,,40,sa3015727
,Cal Mitchell,RF,PIT,23.4111111,"6' 0""",205,L,L,45 / 50,30,50,35 / 40,45 / 50,40 / 40,50 / 55,,,,,,,,,,,40,22169
,Chase Strumpf,3B,CHC,24.4111111,"6' 1""",191,R,R,40 / 55,60,50,30 / 40,50 / 50,50 / 50,50 / 60,,,,,,,,,,,40,sa3010845
,Joe Gray Jr.,RF,MIL,22.4,"6' 3""",195,R,R,30 / 35,55,45,35 / 55,55 / 60,55 / 50,35 / 55,,,,,,,,,,,40,sa3008005
,Mason Martin,1B,PIT,23.1777777,"6' 0""",220,L,R,30 / 35,60,50,45 / 55,70 / 70,40 / 40,40 / 45,,,,,,,,,,,40,sa3004885
,Kevin Made,SS,CHC,19.9055555,"5' 10""",180,R,R,20 / 40,20,40,20 / 45,35 / 50,55 / 55,45 / 55,,,,,,,,,,,40,sa3014679
,Hedbert Perez,LF,MIL,19.3388888,"5' 11""",185,L,L,20 / 40,30,50,25 / 55,55 / 60,55 / 45,30 / 50,,,,,,,,,,,40,sa3014692
,Malcom Nunez,DH,PIT,21.4083333,"5' 11""",205,R,R,45 / 55,45,50,45 / 55,55 / 55,30 / 20,20 / 20,,,,,,,,,,,40,sa3008113
,Sergio Campana,CF,PIT,20.3527777,"6' 1""",160,R,R,30 / 40,45,45,20 / 45,45 / 50,80 / 80,45 / 60,,,,,,,,,,,40,sa3009834
,Jonathan Ornelas,SS,TEX,22.1944444,"6' 0""",170,R,R,45 / 50,50,45,30 / 35,45 / 45,60 / 60,50 / 50,,,,,,,,,,,40,sa3006909
,Luisangel Acuna,2B,TEX,20.4,"5' 10""",155,R,R,30 / 45,55,45,30 / 45,45 / 50,55 / 55,40 / 45,,,,,,,,,,,40,sa3008765
,Hudson Head,CF,PIT,21.3277777,"6' 1""",180,L,L,30 / 40,50,40,30 / 45,45 / 50,60 / 60,45 / 55,,,,,,,,,,,40,sa3010889
,Alexis Hernandez,SS,CHC,17.6083333,"6' 2""",175,R,R,20 / 50,,50,20 / 40,30 / 45,55 / 60,40 / 50,,,,,,,,,,,40,sa3018413
,Sammy Siani,LF,PIT,21.6444444,"5' 10""",195,L,L,30 / 40,55,40,30 / 45,45 / 50,55 / 55,30 / 50,,,,,,,,,,,40,sa3010704
,Nazier Mule,SIRP,CHC,17.8083333,"6' 3""",210,R,R,20 / 30,,,20 / 45,45 / 60,60 / 60,45 / 60,,,,,,,,,,,40,
,Connor Scott,RF,PIT,22.8277777,"6' 3""",187,L,L,30 / 35,40,40,30 / 40,50 / 55,55 / 55,30 / 50,,,,,,,,,,,40,sa3008080
,Christopher Paciolla,3B,CHC,18.3888888,"6' 2""",185,R,R,20 / 50,50,55,20 / 50,40 / 50,45 / 40,35 / 60,,,,,,,,,,,40,
,Danyer Cueva,SS,TEX,18.1916666,"6' 1""",180,L,R,20 / 50,,50,20 / 45,45 / 55,45 / 40,30 / 40,,,,,,,,,,,40,sa3015725
,Shalin Polanco,CF,PIT,18.5,"6' 0""",170,L,L,20 / 50,,50,20 / 50,40 / 50,40 / 40,40 / 50,,,,,,,,,,,40,sa3015699
,Carter Bins,C,PIT,24.2361111,"6' 0""",205,R,R,30 / 35,50,30,30 / 40,55 / 55,45 / 45,40 / 50,,,,,,,,,,,40,sa1115884
,Logan Cerny,CF,HOU,22.8555555,"6' 1""",185,R,R,30 / 35,40,40,35 / 45,55 / 60,60 / 60,45 / 55,,,,,,,,,,,40,sa3017661
,Jacob Melton,CF,HOU,21.9138888,"6' 3""",208,L,L,30 / 40,40,40,30 / 50,55 / 60,60 / 60,40 / 50,,,,,,,,,,,40,
,Edouard Julien,LF,MIN,23.2666666,"6' 1""",195,L,R,30 / 40,55,45,35 / 50,55 / 55,40 / 40,30 / 35,,,,,,,,,,,40,sa3014445
,Danny De Andrade,SS,MIN,18.3222222,"6' 0""",165,R,R,25 / 50,,50,20 / 40,30 / 45,50 / 50,40 / 50,,,,,,,,,,,40,sa3015698
,Eguy Rosario,3B,SDP,22.9472222,"5' 9""",170,R,R,40 / 45,50,55,30 / 40,45 / 45,40 / 40,50 / 50,,,,,,,,,,,40,sa917140
,Brandon Valenzuela,C,SDP,21.8444444,"6' 0""",190,S,R,30 / 45,,,30 / 40,45 / 45,30 / 30,40 / 50,,,,,,,,,,,40,sa3005729
,Alerick Soularie,2B,MIN,23.0861111,"5' 11""",185,R,R,30 / 45,50,50,35 / 50,50 / 55,55 / 55,45 / 55,,,,,,,,,,,40,sa3014436
,Tanner Schobel,SS,MIN,21.1722222,"5' 10""",170,R,R,30 / 50,50,60,30 / 40,40 / 45,60 / 60,45 / 60,,,,,,,,,,,40,
,Seth Beer,DH,ARI,25.8833333,"6' 3""",230,L,R,35 / 40,55,40,50 / 55,60 / 60,20 / 20,20 / 30,,,,,,,,,,,40,20493
,Aaron Sabato,1B,MIN,23.1722222,"6' 2""",230,R,R,30 / 45,60,45,40 / 55,60 / 60,30 / 30,40 / 50,,,,,,,,,,,40,sa3014494
,Ivan Melendez,1B,ARI,22.5333333,"6' 3""",225,R,R,30 / 40,50,40,35 / 60,70 / 70,30 / 30,30 / 40,,,,,,,,,,,40,
,Kala'i Rosario,LF,MIN,20.0944444,"6' 1""",220,R,R,30 / 40,40,50,25 / 55,55 / 60,45 / 40,30 / 50,,,,,,,,,,,40,sa3015199
,Joshua Mears,LF,SDP,21.4722222,"6' 3""",235,R,R,20 / 30,40,40,35 / 60,70 / 70,50 / 40,40 / 50,,,,,,,,,,,40,sa3010162
,Abdidas De La Cruz,SS,ARI,17.7583333,"6' 3""",190,R,R,20 / 45,,40,20 / 50,40 / 55,60 / 60,40 / 50,,,,,,,,,,,40,
,Korry Howell,CF,SDP,23.9305555,"6' 2""",175,R,R,30 / 35,55,40,35 / 40,50 / 50,70 / 70,45 / 60,,,,,,,,,,,40,sa3008238
,Yoelqui Cespedes,CF,CHW,24.8666666,"5' 9""",205,R,R,20 / 30,20,40,40 / 45,60 / 60,60 / 60,45 / 45,,,,,,,,,,,40,sa3015137
,Yasser Mercedes,RF,MIN,17.7222222,"6' 3""",180,R,R,20 / 50,,45,20 / 55,45 / 60,55 / 50,30 / 50,,,,,,,,,,,40,
,Otto Lopez,2B,TOR,23.8472222,"5' 10""",160,R,R,55 / 60,40,60,20 / 30,40 / 45,60 / 60,40 / 45,,,,,,,,,,,40,19608
,Harvin Mendoza,1B,CHW,23.4666666,"6' 2""",225,L,L,35 / 55,45,60,30 / 45,55 / 55,30 / 30,30 / 40,,,,,,,,,,,40,sa916997
,Dominic Canzone,RF,ARI,24.9722222,"6' 1""",190,L,R,40 / 45,45,50,40 / 45,55 / 55,30 / 30,40 / 45,,,,,,,,,,,40,sa1115890
,Jordan Sprinkle,2B,CHW,21.4166666,"5' 11""",180,R,R,35 / 55,45,55,30 / 40,35 / 40,60 / 60,40 / 50,,,,,,,,,,,40,
,Cooper Hummel,RF,ARI,27.6888888,"5' 10""",198,S,R,55 / 55,55,55,30 / 30,45 / 45,45 / 45,30 / 30,,,,,,,,,,,40,19458
,Yolbert Sanchez,SS,CHW,25.425,"6' 2""",190,R,R,30 / 45,50,55,30 / 35,45 / 45,60 / 60,50 / 55,,,,,,,,,,,40,sa3011471
,Estiven Machado,2B,TOR,19.8388888,"5' 10""",170,S,R,25 / 60,,,20 / 30,30 / 40,55 / 55,45 / 60,,,,,,,,,,,40,sa3014715
,Jose Fernandez,SS,ARI,18.8722222,"6' 3""",165,R,R,20 / 35,40,40,20 / 40,35 / 50,60 / 60,45 / 60,,,,,,,,,,,40,sa3015204
,Jorge Barrosa,CF,ARI,21.4694444,"5' 9""",155,S,L,35 / 60,40,60,20 / 30,30 / 35,55 / 55,40 / 45,,,,,,,,,,,40,sa3005524
,Miguel Hiraldo,3B,TOR,21.9194444,"5' 11""",170,R,R,30 / 50,40,55,30 / 50,50 / 55,50 / 40,30 / 45,,,,,,,,,,,40,sa3005486
,Juan Corniel,SS,ARI,19.8444444,"6' 1""",155,S,R,20 / 40,40,40,20 / 40,30 / 45,60 / 60,45 / 55,,,,,,,,,,,40,sa3015169
,Buddy Kennedy,3B,ARI,23.8361111,"6' 1""",200,R,R,45 / 45,55,60,40 / 45,50 / 50,50 / 50,35 / 40,,,,,,,,,,,40,22505
,Tyler Gentry,RF,KCR,23.5138888,"6' 2""",210,R,R,30 / 45,45,45,35 / 50,50 / 55,55 / 55,50 / 55,,,,,,,,,,,40,sa3014485
,Neyfy Castillo,1B,ARI,21.4277777,"6' 3""",205,R,R,30 / 40,35,55,35 / 55,50 / 60,45 / 40,40 / 50,,,,,,,,,,,40,sa3005544
,Samad Taylor,2B,KCR,24.0694444,"5' 10""",160,R,R,30 / 40,45,40,35 / 40,30 / 30,60 / 60,45 / 45,,,,,,,,,,,40,sa918192
,Michael Massey,2B,KCR,24.3722222,"6' 0""",190,L,R,35 / 55,40,45,45 / 40,45 / 50,50 / 50,45 / 55,,,,,,,,,,,40,27684
,Carter Jensen,C,KCR,19.0916666,"6' 1""",210,L,R,20 / 40,55,40,25 / 50,45 / 50,30 / 30,30 / 45,,,,,,,,,,,40,sa3017339
,Darryl Collins,LF,KCR,20.7222222,"6' 2""",200,L,R,35 / 60,45,55,20 / 30,40 / 45,50 / 50,40 / 50,,,,,,,,,,,40,sa3010154
,Hayden Dunhurst,C,KCR,21.8805555,"5' 11""",220,L,R,30 / 45,55,40,30 / 45,55 / 55,30 / 30,45 / 60,,,,,,,,,,,40,
,Daniel Vasquez,SS,KCR,18.3333333,"6' 2""",170,R,R,20 / 45,,50,20 / 45,35 / 50,55 / 55,40 / 45,,,,,,,,,,,40,sa392439
,Alberto Rodriguez,RF,SEA,21.8333333,"5' 11""",227,L,L,30 / 40,50,45,35 / 55,55 / 60,40 / 40,30 / 45,,,,,,,,,,,40,sa3005603
,Brewer Hicklen,LF,KCR,26.4916666,"6' 2""",213,R,R,30 / 35,45,40,40 / 45,55 / 55,70 / 70,50 / 55,,,,,,,,,,,40,20450
,Gabriel Gonzalez,RF,SEA,18.5888888,"5' 11""",180,R,R,25 / 50,50,45,20 / 50,50 / 55,40 / 30,30 / 50,,,,,,,,,,,40,sa3015723
,Henry Ramos,RF,KCR,17.8777777,"6' 1""",175,L,L,20 / 40,,45,20 / 50,45 / 60,40 / 40,30 / 50,,,,,,,,,,,40,sa3018432
,Willy Fanas,CF,NYM,18.5361111,"6' 2""",165,S,R,20 / 40,40,40,25 / 55,40 / 55,55 / 50,30 / 50,,,,,,,,,,,40,sa3018389
,Jonatan Clase,CF,SEA,20.2027777,"5' 8""",175,L,R,30 / 40,60,50,20 / 30,40 / 45,80 / 80,45 / 60,,,,,,,,,,,40,sa3008787
,Khalil Lee,RF,NYM,24.1111111,"5' 10""",200,L,L,30 / 40,55,40,35 / 50,55 / 60,55 / 55,45 / 55,,,,,,,,,,,40,19952
,Victor Acosta,SS,CIN,18.1555555,"5' 11""",165,S,R,20 / 45,45,30,20 / 45,35 / 50,60 / 60,45 / 60,,,,,,,,,,,40,sa3015705
,Sal Stewart,3B,CIN,18.6638888,"6' 3""",225,R,R,25 / 55,55,60,25 / 55,55 / 60,40 / 30,40 / 45,,,,,,,,,,,40,
,Armando Cruz,SS,WSN,18.5555555,"5' 10""",160,R,R,20 / 45,,20,20 / 30,20 / 30,55 / 55,50 / 70,,,,,,,,,,,40,sa3015695
,Ricardo Cabrera,2B,CIN,17.7666666,"6' 0""",175,R,R,25 / 60,,60,20 / 45,35 / 50,50 / 45,30 / 45,,,,,,,,,,,40,sa3018405
,Ambioris Tavarez,3B,ATL,18.7333333,"6' 0""",168,R,R,20 / 45,,40,20 / 55,45 / 55,45 / 40,40 / 50,,,,,,,,,,,40,
,Drew Millas,C,WSN,24.5583333,"6' 2""",202,S,R,30 / 35,55,55,30 / 30,45 / 45,50 / 45,50 / 60,,,,,,,,,,,40,sa3014475
,T.J. White,CF,WSN,19.0361111,"6' 2""",210,S,R,20 / 30,,30,25 / 55,55 / 70,60 / 60,30 / 50,,,,,,,,,,,40,sa3017697
,Brandol Mezquita,OF,ATL,21.0611111,"6' 0""",170,R,R,30 / 40,,,35 / 50,45 / 50,50 / 50,30 / 50,,,,,,,,,,,40,sa3006201
,Jose Torres,SS,CIN,22.8555555,"6' 0""",165,R,R,30 / 45,40,45,30 / 40,40 / 45,60 / 60,45 / 55,,,,,,,,,,,40,sa3017396
,Jose Torres,SS,CIN,22.8555555,"6' 0""",165,R,R,30 / 45,40,45,30 / 40,40 / 45,60 / 60,45 / 55,,,,,,,,,,,40,sa3017396
,Daylen Lile,LF,WSN,19.6833333,"6' 0""",195,L,R,20 / 40,,40,25 / 55,50 / 60,55 / 50,30 / 50,,,,,,,,,,,40,sa3017698
,Luke Waddell,2B,ATL,24.0638888,"5' 9""",180,L,R,55 / 70,60,70,20 / 30,30 / 30,40 / 40,40 / 45,,,,,,,,,,,40,sa3017075
,Mike Siani,CF,CIN,23.0555555,"5' 11""",190,L,L,40 / 50,55,50,20 / 30,40 / 45,60 / 60,55 / 70,,,,,,,,,,,40,sa3008182
,Braden Shewmake,SS,ATL,24.7138888,"6' 4""",180,L,R,45 / 50,45,60,30 / 35,40 / 40,55 / 55,50 / 55,,,,,,,,,,,40,sa3010332
,Logan Tanner,C,CIN,21.7388888,"6' 1""",218,R,R,30 / 45,45,50,35 / 55,55 / 60,30 / 30,40 / 50,,,,,,,,,,,40,
,Sammy Infante,3B,WSN,21.1222222,"6' 1""",185,R,R,30 / 50,,40,30 / 50,50 / 55,50 / 40,30 / 45,,,,,,,,,,,40,sa3014717
,Christian Encarnacion-Strand,3B,CIN,22.6805555,"6' 0""",224,R,R,30 / 40,40,45,45 / 55,70 / 70,40 / 40,35 / 40,,,,,,,,,,,40,sa3017756
,Jake Alu,3B,WSN,25.3333333,"5' 10""",175,L,R,50 / 55,45,60,35 / 40,45 / 45,40 / 40,40 / 45,,,,,,,,,,,40,sa3010009
,Jesse Franklin V,CF,ATL,23.6805555,"6' 1""",215,L,L,30 / 45,50,45,35 / 50,50 / 55,50 / 50,40 / 45,,,,,,,,,,,40,sa3014532
,Ivan Johnson,2B,CIN,23.8194444,"6' 0""",190,S,R,30 / 40,50,45,30 / 45,50 / 55,60 / 60,40 / 50,,,,,,,,,,,40,sa1169627
,Cal Conley,DH,ATL,23.0527777,"5' 10""",175,S,R,30 / 45,35,45,35 / 50,55 / 55,40 / 40,30 / 40,,,,,,,,,,,40,sa3017080
,Jackson Miller,C,CIN,20.5916666,"6' 0""",195,L,R,30 / 40,,40,30 / 40,40 / 50,40 / 30,30 / 45,,,,,,,,,,,40,sa3014529
,Israel Pineda,C,WSN,22.3416666,"5' 11""",215,R,R,30 / 40,40,40,35 / 45,45 / 50,30 / 20,40 / 45,,,,,,,,,,,40,sa3004385
,TJ Friedl,CF,CIN,26.9777777,"5' 10""",180,L,L,50 / 50,60,50,30 / 30,40 / 40,70 / 70,50 / 55,,,,,,,,,,,40,19522
,Stuart Fairchild,CF,CIN,26.3861111,"6' 0""",205,R,R,40 / 45,50,55,35 / 45,50 / 50,55 / 55,50 / 50,,,,,,,,,,,40,20321
,Kyren Paris,2B,LAA,20.7361111,"6' 0""",170,R,R,35 / 55,55,50,30 / 30,40 / 45,70 / 70,30 / 50,,,,,,,,,,,40,sa3011768
,Jadiel Sanchez,RF,LAA,21.2388888,"6' 2""",185,S,R,30 / 50,55,55,30 / 40,35 / 45,50 / 50,30 / 55,,,,,,,,,,,40,sa3011629
,Will Wilson,2B,SFG,24.0416666,"6' 0""",184,R,R,35 / 40,50,50,40 / 45,50 / 50,40 / 40,45 / 45,,,,,,,,,,,40,sa3009871
,Marcos Cabrera,3B,NYY,20.8222222,"6' 3""",189,R,R,30 / 40,45,50,35 / 55,45 / 55,45 / 40,30 / 50,,,,,,,,,,,40,sa3008890
,Mickey Moniak,CF,LAA,24.2305555,"6' 2""",195,L,R,50 / 50,30,55,30 / 35,45 / 45,55 / 55,50 / 50,,,,,,,,,,,40,19956
