Top100,Name,Pos,Org,Age,H,W,B,T,Hit,Pitch Sel,Bat Ctrl,Game,Raw,Spd,Fld,FB Type,FB,SL,CB,CH,CMD,RPM FB,RPM Break,Sits,Tops,FV,playerId
78,Bo Naylor,C,CLE,22.4583333,"6' 0""",205,L,R,30 / 35,45,30,30 / 45,55 / 60,50 / 40,35 / 40,,,,,,,,,,,50,sa3008247
79,Vaughn Grissom,SS,ATL,21.5861111,"6' 3""",210,R,R,20 / 45,45,55,25 / 50,50 / 55,50 / 50,40 / 50,,,,,,,,,,,45,26031
80,Jordan Westburg,2B,BAL,23.4666666,"6' 3""",203,R,R,35 / 50,50,45,30 / 50,50 / 50,55 / 55,40 / 45,,,,,,,,,,,45,sa3014499
81,Gavin Stone,MIRP,LAD,23.8083333,"6' 1""",175,R,R,,,,,,,,Rise,60 / 60,50 / 55,45 / 50,55 / 60,30 / 40,,,92-96,97,45,sa3014810
82,Justin Foscue,2B,TEX,23.4277777,"6' 0""",210,R,R,40 / 45,60,45,40 / 50,60 / 60,30 / 30,30 / 30,,,,,,,,,,,45,sa3014527
83,Gordon Graceffo,SP,STL,22.3861111,"6' 4""",210,R,R,,,,,,,,None,50 / 55,55 / 60,55 / 55,55 / 55,50 / 55,,,93-97,99,50,sa3016849
84,Matthew Liberatore,SP,STL,22.75,"6' 5""",200,L,L,,,,,,,,Sink,40 / 45,50 / 55,60 / 60,45 / 55,55 / 70,2000,2800,92-95,97,50,22294
85,Carson Williams,SS,TBR,19.1138888,"6' 0""",180,R,R,30 / 50,50,50,30 / 50,40 / 50,50 / 55,55 / 55,,,,,,,,,,,45,sa3017795
85,Carson Williams,SS,TBR,19.1138888,"6' 0""",180,R,R,,,,,,,,Rise/Tail,50 / 60,55 / 60,,30 / 45,20 / 45,,,95-97,98,45,sa3017795
86,Austin Wells,RF,NYY,23.0666666,"6' 1""",220,L,R,35 / 50,55,50,35 / 55,55 / 55,40 / 40,30 / 40,,,,,,,,,,,45,sa3014440
87,Jackson Merrill,SS,SDP,19.2972222,"6' 2""",180,L,R,25 / 55,45,45,20 / 40,30 / 45,50 / 45,45 / 55,,,,,,,,,,,45,sa3016829
88,Joey Wiemer,RF,MIL,23.4861111,"6' 5""",215,R,R,30 / 40,55,45,35 / 60,60 / 70,55 / 50,30 / 60,,,,,,,,,,,50,sa3014531
89,Alex Ramirez,CF,NYM,19.5638888,"6' 3""",175,R,R,20 / 45,,,20 / 55,50 / 60,55 / 55,40 / 50,,,,,,,,,,,50,sa3014695
90,Kevin Alcantara,CF,CHC,20.0666666,"6' 3""",193,R,R,30 / 40,50,45,20 / 60,50 / 70,55 / 50,40 / 50,,,,,,,,,,,50,sa3008752
91,DL Hall,SP,BAL,23.8805555,"6' 0""",195,L,L,,,,,,,,Tail/Rise,70 / 70,,55 / 60,55 / 60,30 / 40,2400,2700,93-96,98,55,22207
92,Alec Burleson,RF,STL,23.6972222,"6' 2""",214,L,L,45 / 55,35,60,30 / 40,50 / 50,30 / 30,30 / 45,,,,,,,,,,,40+,sa3014466
93,Brock Porter,SP,TEX,19.175,"6' 4""",200,R,R,,,,,,,,Rise/Tail,60 / 60,,55 / 60,55 / 70,20 / 45,,,93-96,98,45+,
94,Brandon Pfaadt,SP,ARI,23.8083333,"6' 4""",220,R,R,,,,,,,,Rise,60 / 60,55 / 55,50 / 50,50 / 55,45 / 55,2400,2550,91-95,96,50,sa3014983
95,Tink Hence,SP,STL,20,"5' 11""",160,R,R,,,,,,,,Rise,55 / 60,,55 / 60,30 / 50,35 / 55,,,93-96,98,40+,sa3014709
96,Emmanuel Rodriguez,CF,MIN,19.4333333,"5' 10""",215,L,L,20 / 40,50,40,25 / 55,50 / 55,50 / 50,30 / 55,,,,,,,,,,,40+,sa3014693
97,Nick Gonzales,2B,PIT,23.1916666,"5' 10""",195,R,R,30 / 45,50,45,35 / 55,55 / 55,60 / 60,40 / 50,,,,,,,,,,,50,sa3014510
98,Zack Gelof,3B,OAK,22.7972222,"6' 2""",209,R,R,35 / 60,50,60,30 / 45,50 / 50,50 / 50,30 / 50,,,,,,,,,,,45+,sa3017286
99,Oscar Colas,RF,CHW,23.8861111,"6' 1""",209,L,L,35 / 50,40,55,35 / 55,60 / 60,40 / 40,30 / 45,,,,,,,,,,,45,sa3018099
100,Ceddanne Rafaela,CF,BOS,21.8833333,"5' 8""",152,R,R,30 / 45,30,55,30 / 45,45 / 50,60 / 60,50 / 60,,,,,,,,,,,45,sa3005581
,Shane Baz,SP,TBR,23.1361111,"6' 2""",190,R,R,,,,,,,,Rise,60 / 60,60 / 60,50 / 50,55 / 55,45 / 50,2450,2600,92-97,100,60,22264
,CJ Abrams,2B,WSN,21.8416666,"6' 2""",185,L,R,50 / 70,40,70,30 / 50,45 / 55,80 / 80,35 / 45,,,,,,,,,,,60,25768
,Luis Campusano,C,SDP,23.8527777,"6' 0""",232,R,R,40 / 45,45,55,40 / 50,55 / 60,40 / 40,35 / 45,,,,,,,,,,,55,22217
,Luis Matos,CF,SFG,20.5222222,"5' 11""",180,R,R,30 / 55,40,50,30 / 50,50 / 60,60 / 60,45 / 50,,,,,,,,,,,50,sa3008756
,Nick Pratto,1B,KCR,23.8333333,"6' 1""",215,L,L,35 / 40,60,40,55 / 70,60 / 60,40 / 40,55 / 60,,,,,,,,,,,50,22117
,Nick Lodolo,SP,CIN,24.5027777,"6' 6""",205,L,L,,,,,,,,Sink/Tail,45 / 50,70 / 70,,45 / 55,55 / 60,2250,2400,92-95,97,50,26378
,Cole Winn,SP,TEX,22.6972222,"6' 2""",190,R,R,,,,,,,,Rise,50 / 55,55 / 55,55 / 55,55 / 60,45 / 55,2350,2850,93-95,97,50,sa3008662
,Ivan Herrera,C,STL,22.1805555,"6' 0""",220,R,R,50 / 60,55,60,40 / 45,50 / 50,50 / 40,40 / 50,,,,,,,,,,,50,20599
