Name,Pos,Bio.Class,Hit,Game,Raw,Spd,Fld,Arm,B,T,H,W,Class,Pos.Class
Sam Huff,C,Position,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,Catcher,C
Sandy Leon,C,Position,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,Catcher,C
Sean Murphy,C,Position,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,Catcher,C
Seby Zavala,C,Position,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,Catcher,C
Shea Langeliers,C,Position,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,Catcher,C
Shohei Ohtani,TWP,Position,60,70,70,70,NA,NA,L,R,70,60,Position,NA
Starling Marte,RF,Position,70,50,50,70,50,NA,R,R,50,50,Position,OF
Stephen Vogt,C,Position,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,Catcher,C
Teoscar Hernandez,RF,Position,60,70,70,70,40,NA,R,R,60,60,Position,OF
Tim Anderson,SS,Position,80,50,50,70,50,NA,R,R,50,40,Position,MI
Tomas Nido,C,Position,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,Catcher,C
Tommy Edman,2B,Position,60,50,50,70,70,NA,S,R,40,40,Position,MI
Tommy La Stella,DH,Position,60,50,50,40,NA,NA,L,R,40,40,Position,DH
Tommy Pham,LF,Position,50,50,70,60,40,NA,R,R,50,60,Position,OF
Tony Kemp,2B,Position,50,40,40,50,60,NA,L,R,30,30,Position,MI
Travis d'Arnaud,C,Position,50,60,50,50,NA,60,R,R,60,60,Catcher,C
Trea Turner,SS,Position,80,60,60,80,50,NA,R,R,60,40,Position,MI
Trent Grisham,CF,Position,40,50,50,70,60,NA,L,L,40,60,Position,OF
Tres Barrera,C,Position,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,Catcher,C
Trevor Story,2B,Position,60,60,60,70,60,NA,R,R,60,60,Position,MI
Trey Mancini,DH,Position,60,60,60,50,NA,NA,R,R,60,70,Position,DH
Tucker Barnhart,C,Position,50,40,40,30,NA,50,S,R,40,50,Catcher,C
Ty France,1B,Position,60,50,50,40,50,NA,R,R,40,60,Position,CI
Tyler Heineman,C,Position,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,Catcher,C
Tyler Naquin,LF,Position,60,50,60,60,40,NA,L,R,60,50,Position,OF
Tyler Stephenson,C,Position,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,Catcher,C
Victor Caratini,C,Position,40,50,60,40,NA,50,S,R,50,60,Catcher,C
Victor Reyes,RF,Position,60,40,50,60,50,NA,S,R,70,50,Position,OF
Victor Robles,CF,Position,40,40,40,70,50,NA,R,R,50,50,Position,OF
Whit Merrifield,CF,Position,60,50,50,70,40,NA,R,R,50,50,Position,OF
Wil Myers,RF,Position,60,60,50,60,60,NA,R,R,60,50,Position,OF
Will Smith,C,Position,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,Catcher,C
William Contreras,C,Position,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,Catcher,C
Willson Contreras,C,Position,50,60,60,60,NA,70,R,R,50,60,Catcher,C
Willy Adames,SS,Position,50,60,60,60,50,NA,R,R,50,60,Position,MI
Wilmer Flores,2B,Position,60,50,50,40,50,NA,R,R,60,60,Position,MI
Xander Bogaerts,SS,Position,70,60,50,60,50,NA,R,R,60,60,Position,MI
Yadier Molina,C,Position,50,40,40,30,NA,50,R,R,40,60,Catcher,C
Yan Gomes,C,Position,50,50,40,50,NA,50,R,R,60,60,Catcher,C
Yandy Diaz,3B,Position,60,50,70,50,30,NA,R,R,60,60,Position,CI
Yasmani Grandal,C,Position,40,60,60,30,NA,40,S,R,60,60,Catcher,C
Yoan Moncada,3B,Position,50,50,50,60,50,NA,S,R,60,60,Position,CI
Yordan Alvarez,DH,Position,70,80,80,50,NA,NA,L,R,70,60,Position,DH
Yuli Gurriel,1B,Position,60,50,50,60,60,NA,R,R,50,60,Position,CI
Zack Collins,C,Position,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,Catcher,C
