Name,Top100,Pos,Class,Org,Age,H,W,B,T,Hit,Game,Raw,Spd,Fld,Arm,FB,SL,CB,CH,CMD,Bio.Class,Ht,Wt,Pos.Class
Miguel Vargas,NA,3B,Position,LAD,22,60,60,R,R,60,50,50,40,40,45,NA,NA,NA,NA,NA,Position,"6' 3""",200,CI
Mike Burrows,NA,SIRP,Pitcher,PIT,22,60,50,R,R,NA,NA,NA,NA,NA,NA,60,NA,70,50,40,Pitcher,"6' 2""",183,RP
Mike Siani,NA,CF,Position,CIN,23,40,50,L,L,50,30,50,60,70,60,NA,NA,NA,NA,NA,Position,"5' 11""",190,OF
Mike Vasil,NA,SP,Pitcher,NYM,22,70,70,R,R,NA,NA,NA,NA,NA,NA,60,60,50,50,45,Pitcher,"6' 5""",225,SP
Mikey Romero,NA,2B,Position,BOS,18,50,50,L,R,60,50,50,50,40,50,NA,NA,NA,NA,NA,Position,"6' 1""",175,MI
Milan Tolentino,NA,SS,Position,CLE,20,50,50,L,R,40,30,50,60,60,55,NA,NA,NA,NA,NA,Position,"6' 1""",180,MI
Miles Mastrobuoni,NA,SS,Position,TBR,26,40,50,L,R,60,30,30,50,40,NA,NA,NA,NA,NA,NA,Position,"5' 11""",185,MI
Misael Tamarez,NA,MIRP,Pitcher,HOU,22,50,60,R,R,NA,NA,NA,NA,NA,NA,60,50,NA,60,40,Pitcher,"6' 1""",206,RP
Misael Urbina,NA,LF,Position,MIN,20,50,50,R,R,60,50,50,50,50,45,NA,NA,NA,NA,NA,Position,"6' 0""",175,OF
Mishael Deson,NA,LF,Position,BAL,20,70,50,R,R,60,50,60,30,50,45,NA,NA,NA,NA,NA,Position,"6' 5""",185,OF
Mitch Bratt,NA,SP,Pitcher,TEX,19,50,50,L,L,NA,NA,NA,NA,NA,NA,50,50,50,60,45,Pitcher,"6' 1""",190,SP
Mitch Spence,NA,MIRP,Pitcher,NYY,24,50,50,R,R,NA,NA,NA,NA,NA,NA,50,60,50,40,45,Pitcher,"6' 1""",185,RP
Mitchell Parker,NA,MIRP,Pitcher,WSN,23,60,70,L,L,NA,NA,NA,NA,NA,NA,60,NA,60,40,40,Pitcher,"6' 4""",224,RP
Mitchell Stumpo,NA,SIRP,Pitcher,ARI,26,60,60,R,R,NA,NA,NA,NA,NA,NA,60,60,NA,NA,35,Pitcher,"6' 2""",205,RP
Moises Gomez,NA,RF,Position,STL,24,40,60,R,R,40,50,60,40,40,55,NA,NA,NA,NA,NA,Position,"5' 11""",200,OF
Morgan McSweeney,NA,SIRP,Pitcher,BAL,25,60,60,R,R,NA,NA,NA,NA,NA,NA,60,60,NA,NA,40,Pitcher,"6' 4""",210,RP
Nasim Nunez,NA,SS,Position,MIA,22,40,40,S,R,40,40,50,60,70,60,NA,NA,NA,NA,NA,Position,"5' 9""",158,MI
Natanael Garabitos,NA,SIRP,Pitcher,SEA,22,50,50,R,R,NA,NA,NA,NA,NA,NA,60,60,NA,NA,35,Pitcher,"6' 0""",185,RP
Natanael Santana,NA,RF,Position,LAA,21,60,50,R,R,40,60,70,60,50,50,NA,NA,NA,NA,NA,Position,"6' 3""",190,OF
Nate Eaton,NA,3B,Position,KCR,25,40,50,R,R,40,40,50,60,50,80,NA,NA,NA,NA,NA,Position,"5' 11""",185,CI
Nate Savino,NA,SP,Pitcher,ARI,20,60,60,L,L,NA,NA,NA,NA,NA,NA,50,60,NA,50,50,Pitcher,"6' 3""",210,SP
Nathan Webb,NA,MIRP,Pitcher,KCR,25,60,80,R,R,NA,NA,NA,NA,NA,NA,70,60,NA,50,40,Pitcher,"6' 2""",240,RP
Nathanael Heredia,NA,SIRP,Pitcher,STL,22,60,50,L,L,NA,NA,NA,NA,NA,NA,60,60,NA,NA,40,Pitcher,"6' 3""",190,RP
Naysbel Marcano,NA,C,Catcher,BOS,20,50,50,R,R,50,40,50,20,60,60,NA,NA,NA,NA,NA,Position,"6' 0""",190,C
