Name,FB,SL,CB,CH,T,Class,H,W
George Kirby,60,60,60,60,R,Pitcher,70,60
German Marquez,60,50,40,0,R,Pitcher,50,70
Gerrit Cole,60,60,60,40,R,Pitcher,70,60
Giovanny Gallegos,60,50,0,40,R,Pitcher,60,60
Glenn Otto,60,60,60,60,R,Pitcher,60,70
Graham Ashcraft,60,70,0,0,R,Pitcher,60,70
Gregory Soto,60,50,0,0,L,Pitcher,50,70
Griffin Jax,60,70,0,50,R,Pitcher,60,50
Hector Neris,70,50,0,0,R,Pitcher,60,60
Hirokazu Sawamura,60,50,0,0,R,Pitcher,50,60
Hoby Milner,60,0,60,60,L,Pitcher,60,40
Huascar Brazoban,60,0,0,60,R,Pitcher,60,30
Humberto Castellanos,60,40,60,60,R,Pitcher,40,60
Hunter Greene,70,60,0,40,R,Pitcher,70,70
Hunter Harvey,60,0,60,0,R,Pitcher,60,60
Hunter Strickland,60,60,0,0,R,Pitcher,60,60
Ian Anderson,60,0,30,40,R,Pitcher,60,40
Ian Gibaut,60,60,0,60,R,Pitcher,60,70
Ian Kennedy,60,0,50,40,R,Pitcher,50,60
J.B. Wendelken,60,60,0,60,R,Pitcher,50,70
Jack Flaherty,50,50,60,0,R,Pitcher,70,60
Jackson Stephens,60,0,70,50,R,Pitcher,60,60
Jacob deGrom,60,60,0,60,R,Pitcher,70,40
Jaime Barria,60,50,0,60,R,Pitcher,50,60
Jake Bird,60,0,60,0,R,Pitcher,60,50
Jake Diekman,70,60,0,0,L,Pitcher,70,50
Jake McGee,60,40,0,0,L,Pitcher,70,60
Jake Odorizzi,60,50,0,0,R,Pitcher,60,50
Jake Woodford,60,60,60,0,R,Pitcher,70,60
Jakob Junis,60,60,0,50,R,Pitcher,60,60
Jalen Beeks,60,0,0,60,L,Pitcher,40,60
James Kaprielian,60,50,50,60,R,Pitcher,60,60
James Karinchak,60,0,40,0,R,Pitcher,60,60
Jameson Taillon,60,50,60,50,R,Pitcher,70,70
Jandel Gustave,60,60,0,0,R,Pitcher,60,60
Jared Koenig,50,0,60,50,L,Pitcher,70,70
Jarlin Garcia,60,50,0,60,L,Pitcher,60,60
Jason Adam,60,60,0,60,R,Pitcher,60,60
Jason Alexander,70,50,0,60,R,Pitcher,60,50
Jason Foley,70,60,0,60,R,Pitcher,70,60
Jeff Hoffman,70,60,0,60,R,Pitcher,70,70
Jeffrey Springs,60,50,0,60,L,Pitcher,60,60
Jesse Chavez,60,0,0,60,R,Pitcher,50,40
Jesus Luzardo,60,0,40,60,L,Pitcher,50,60
Jeurys Familia,70,50,0,0,R,Pitcher,60,70
Jharel Cotton,60,50,0,60,R,Pitcher,40,50
Jhoan Duran,70,0,60,0,R,Pitcher,70,70
Jhoulys Chacin,60,50,60,0,R,Pitcher,60,60
Jimmy Herget,60,50,60,60,R,Pitcher,60,40
Jimmy Lambert,60,50,60,60,R,Pitcher,60,50
Joan Adon,60,0,60,60,R,Pitcher,60,70
Joe Barlow,60,50,40,0,R,Pitcher,60,60
Joe Jimenez,60,50,0,50,R,Pitcher,60,80
Joe Kelly,60,0,60,60,R,Pitcher,50,40
Joe Mantiply,70,0,40,70,L,Pitcher,70,60
Joe Musgrove,60,60,70,60,R,Pitcher,70,70
Joe Ryan,60,40,50,60,R,Pitcher,60,50
Joe Smith,60,50,0,0,R,Pitcher,60,60
Joel Kuhnel,60,50,0,60,R,Pitcher,70,80
Joel Payamps,60,60,0,60,R,Pitcher,60,60
Joely Rodriguez,60,50,0,60,L,Pitcher,50,50
Joey Krehbiel,60,0,0,60,R,Pitcher,60,70
Johan Oviedo,60,50,50,60,R,Pitcher,70,70
John Brebbia,60,50,0,0,R,Pitcher,50,50
John King,70,60,0,60,L,Pitcher,60,60
John Schreiber,60,50,0,60,R,Pitcher,60,60
Johnny Cueto,60,40,0,60,R,Pitcher,40,60
Jon Gray,60,50,0,40,R,Pitcher,70,60
Jonathan Heasley,60,50,60,50,R,Pitcher,60,60
Jonathan Loaisiga,60,0,50,50,R,Pitcher,40,30
Jordan Hicks,60,60,0,0,R,Pitcher,60,60
Jordan Lyles,60,60,60,50,R,Pitcher,70,70
Jordan Montgomery,60,0,40,50,L,Pitcher,70,60
Jordan Romano,60,60,0,0,R,Pitcher,70,60
Jordan Weems,60,60,0,50,R,Pitcher,70,60
Jorge Lopez,60,60,60,60,R,Pitcher,60,50
Jose Alvarado,60,0,0,0,L,Pitcher,60,70
Jose Berrios,60,0,60,60,R,Pitcher,50,50
Jose Cuas,60,50,0,0,R,Pitcher,60,50
Jose Leclerc,60,50,0,40,R,Pitcher,50,50
Jose Quijada,60,0,0,60,L,Pitcher,40,60
Jose Quintana,50,0,40,60,L,Pitcher,50,60
Jose Ruiz,60,0,50,60,R,Pitcher,50,70
Jose Suarez,60,40,50,60,L,Pitcher,40,60
Jose Urena,60,40,0,40,R,Pitcher,60,50
Jose Urquidy,60,50,60,50,R,Pitcher,50,60
Josh Fleming,70,0,50,70,L,Pitcher,60,60
Josh Hader,40,50,0,0,L,Pitcher,60,40
Josh Staumont,60,0,60,0,R,Pitcher,60,50
Josh Winckowski,60,60,0,60,R,Pitcher,70,50
Josh Winder,60,50,50,40,R,Pitcher,70,60
Josiah Gray,60,40,40,0,R,Pitcher,50,50
Jovani Moran,60,0,0,50,L,Pitcher,50,40
JP Sears,60,50,0,60,L,Pitcher,40,40
JT Brubaker,60,50,50,60,R,Pitcher,60,40
Julio Urias,60,0,60,50,L,Pitcher,50,60
Justin Dunn,60,50,50,0,R,Pitcher,60,40
Justin Lawrence,60,60,0,0,R,Pitcher,60,60
Justin Steele,50,60,0,0,L,Pitcher,60,50
Justin Verlander,70,50,60,0,R,Pitcher,70,70
Keegan Akin,60,50,0,60,L,Pitcher,40,70
Keegan Thompson,60,0,60,50,R,Pitcher,50,60
Kendall Graveman,60,60,0,60,R,Pitcher,60,50
Kenley Jansen,70,60,0,0,R,Pitcher,70,80
Kevin Gausman,70,50,0,0,R,Pitcher,60,50
Kirby Snead,60,50,0,70,L,Pitcher,50,60
Kirk McCarty,60,0,50,40,L,Pitcher,30,40
Konnor Pilkington,60,40,50,60,L,Pitcher,60,70
Kris Bubic,60,0,60,50,L,Pitcher,60,60
Kutter Crawford,70,50,60,40,R,Pitcher,50,60
Kyle Bradish,60,70,60,50,R,Pitcher,70,60
Kyle Finnegan,50,50,0,0,R,Pitcher,60,50
Kyle Freeland,60,50,40,40,L,Pitcher,70,50
Kyle Gibson,60,50,50,60,R,Pitcher,70,60
Kyle Hendricks,50,0,60,50,R,Pitcher,60,50
Kyle Nelson,50,50,0,0,L,Pitcher,50,40
Kyle Wright,70,50,60,60,R,Pitcher,70,60
Lance Lynn,60,0,50,0,R,Pitcher,70,80
Liam Hendriks,60,50,60,0,R,Pitcher,50,70
Logan Gilbert,60,50,50,60,R,Pitcher,70,60
Logan Webb,60,50,0,60,R,Pitcher,50,60
Lou Trivino,60,60,0,70,R,Pitcher,70,70
Louis Head,60,60,0,0,R,Pitcher,50,40
Lucas Gilbreath,60,50,0,0,L,Pitcher,50,40
Lucas Giolito,60,50,0,50,R,Pitcher,70,70
Lucas Luetge,50,60,60,0,L,Pitcher,70,50
Luis Castillo,60,50,0,60,R,Pitcher,60,50
Luis Castillo,60,50,0,60,R,Pitcher,60,60
Luis Cessa,60,60,0,60,R,Pitcher,50,50
Luis Garcia,60,60,50,60,R,Pitcher,50,70
Luis Garcia,60,60,50,60,R,Pitcher,60,60
Luis Garcia,60,60,50,60,R,Pitcher,40,40
Luis Garcia,60,60,50,60,R,Pitcher,60,70
Luis Severino,60,60,0,40,R,Pitcher,60,60
Luke Weaver,60,60,0,60,R,Pitcher,60,40
MacKenzie Gore,60,50,40,40,L,Pitcher,60,50
Madison Bumgarner,60,0,40,50,L,Pitcher,70,80
Manny Banuelos,60,50,40,60,L,Pitcher,40,60
Marco Gonzales,60,0,60,60,L,Pitcher,50,50
Marcus Stroman,50,60,0,0,R,Pitcher,30,40
Mark Melancon,60,0,60,0,R,Pitcher,50,60
Martin Perez,60,0,0,60,L,Pitcher,50,50
Matt Barnes,70,0,60,60,R,Pitcher,70,50
Matt Brash,60,60,60,0,R,Pitcher,50,40
Matt Bush,60,0,60,0,R,Pitcher,30,40
Matt Foster,60,50,40,40,R,Pitcher,50,60
Matt Manning,60,50,60,50,R,Pitcher,70,50
Matt Moore,60,0,60,60,L,Pitcher,60,60
Matt Strahm,70,50,40,60,L,Pitcher,60,50
Matt Swarmer,60,50,0,0,R,Pitcher,70,50
Matt Wisler,60,50,0,0,R,Pitcher,60,60
Matthew Festa,50,60,0,0,R,Pitcher,50,50
Matthew Liberatore,60,50,60,50,L,Pitcher,70,50
Max Castillo,60,50,0,60,R,Pitcher,60,80
Max Fried,60,50,60,60,L,Pitcher,70,50
Max Scherzer,70,50,60,60,R,Pitcher,60,50
Merrill Kelly,60,0,60,60,R,Pitcher,60,50
Michael Fulmer,60,60,0,60,R,Pitcher,60,60
Michael King,60,60,0,60,R,Pitcher,60,60
Michael Kopech,60,60,50,0,R,Pitcher,60,60
Michael Lorenzen,60,60,0,60,R,Pitcher,60,60
Michael Pineda,60,40,0,60,R,Pitcher,80,80
Michael Rucker,60,60,60,60,R,Pitcher,50,50
Michael Wacha,60,0,50,50,R,Pitcher,70,60
Miguel Castro,60,60,0,60,R,Pitcher,80,50
Mike Clevinger,60,60,0,40,R,Pitcher,70,60
Mike Mayers,60,50,0,60,R,Pitcher,60,60
Mike Minor,60,50,60,60,L,Pitcher,70,60
Miles Mikolas,60,50,60,0,R,Pitcher,70,70
Mitch Keller,60,70,60,60,R,Pitcher,60,60
Mitch White,60,60,60,0,R,Pitcher,60,60
Mychal Givens,60,50,0,50,R,Pitcher,50,70
Nabil Crismatt,60,0,60,60,R,Pitcher,50,60
Nathan Eovaldi,60,50,60,0,R,Pitcher,60,60
Nestor Cortes,60,50,0,0,L,Pitcher,40,60
Nick Lodolo,70,0,50,60,L,Pitcher,70,50
Nick Martinez,60,0,60,60,R,Pitcher,50,50
Nick Nelson,60,50,0,60,R,Pitcher,50,50
Nick Pivetta,60,50,60,0,R,Pitcher,70,60
Nick Sandlin,60,50,0,0,R,Pitcher,40,40
Nick Wittgren,60,50,0,60,R,Pitcher,60,60
Noah Syndergaard,60,50,40,60,R,Pitcher,70,70
Noe Ramirez,60,0,50,60,R,Pitcher,60,50
Oliver Ortega,60,0,50,0,R,Pitcher,50,30
Pablo Lopez,60,0,60,60,R,Pitcher,70,60
Packy Naughton,60,40,0,60,L,Pitcher,60,50
Paolo Espino,60,50,60,0,R,Pitcher,40,60
Patrick Corbin,60,40,0,50,L,Pitcher,70,60
Patrick Sandoval,60,60,60,60,L,Pitcher,60,50
Paul Blackburn,60,0,60,50,R,Pitcher,50,50
Paul Sewald,60,50,0,0,R,Pitcher,60,60
Penn Murfee,50,60,0,0,R,Pitcher,60,50
Peter Strzelecki,60,60,0,60,R,Pitcher,60,50
Phil Bickford,60,50,0,0,R,Pitcher,70,50
Phil Maton,60,60,70,0,R,Pitcher,60,50
Rafael Montero,60,50,0,60,R,Pitcher,50,50
Raisel Iglesias,60,50,0,60,R,Pitcher,60,50
Ranger Suarez,60,0,50,60,L,Pitcher,50,60
Reid Detmers,60,50,60,50,L,Pitcher,60,60
Reiver Sanmartin,60,50,0,60,L,Pitcher,60,30
Reyes Moronta,60,50,0,60,R,Pitcher,40,80
Reynaldo Lopez,60,50,60,0,R,Pitcher,50,60
Rich Hill,60,50,60,0,L,Pitcher,70,60
Richard Bleier,70,50,0,60,L,Pitcher,60,60
Roansy Contreras,60,50,60,0,R,Pitcher,50,40
Robbie Ray,60,40,0,0,L,Pitcher,60,60
Robert Stephenson,60,60,0,0,R,Pitcher,60,50
Robert Suarez,60,0,0,60,R,Pitcher,60,60
Ron Marinaccio,70,50,0,60,R,Pitcher,60,50
Rony Garcia,60,0,40,40,R,Pitcher,60,50
Ross Detwiler,60,0,0,0,L,Pitcher,70,60
Ross Stripling,60,50,60,50,R,Pitcher,50,60
Rowan Wick,60,50,60,0,R,Pitcher,60,70
Ryan Brasier,60,60,0,0,R,Pitcher,50,60
Ryan Feltner,60,50,50,40,R,Pitcher,70,50
Ryan Helsley,60,60,60,0,R,Pitcher,60,70
Ryan Pepiot,60,50,0,60,R,Pitcher,60,60
Ryan Pressly,60,60,80,0,R,Pitcher,60,50
Ryan Tepera,60,50,0,60,R,Pitcher,50,50
Ryan Thompson,60,50,0,0,R,Pitcher,70,60
Ryan Yarbrough,50,0,60,60,L,Pitcher,70,50
Ryne Stanek,60,60,0,0,R,Pitcher,70,60
Sam Hentges,60,60,60,0,L,Pitcher,70,70
Sam Long,60,0,50,40,L,Pitcher,50,40
Sam Moll,50,60,0,0,L,Pitcher,30,50
Sandy Alcantara,60,60,0,60,R,Pitcher,70,50
Scott Barlow,50,60,60,0,R,Pitcher,60,60
Scott Effross,60,50,0,60,R,Pitcher,60,50
Sean Manaea,50,40,0,50,L,Pitcher,70,70
Sean Newcomb,60,0,60,0,L,Pitcher,70,80
Seranthony Dominguez,60,60,0,0,R,Pitcher,50,60
Seth Lugo,60,50,70,0,R,Pitcher,70,60
Seth Martinez,60,50,0,60,R,Pitcher,60,50
Shane Bieber,60,50,60,0,R,Pitcher,60,50
Shane McClanahan,70,60,60,60,L,Pitcher,50,50
Shawn Armstrong,60,60,0,0,R,Pitcher,60,60
Shohei Ohtani,60,60,60,0,R,Pitcher,70,60
Sonny Gray,50,70,80,0,R,Pitcher,40,50
Spencer Howard,60,0,60,0,R,Pitcher,60,60
Spencer Strider,60,50,0,0,R,Pitcher,50,50
Spenser Watkins,60,50,60,0,R,Pitcher,60,40
Steve Cishek,60,50,0,0,R,Pitcher,70,60
Steven Matz,60,0,60,60,L,Pitcher,60,50
Steven Okert,60,50,0,0,L,Pitcher,60,50
Steven Wilson,60,50,0,50,R,Pitcher,60,60
T.J. McFarland,70,50,0,70,L,Pitcher,60,50
Taijuan Walker,60,50,50,0,R,Pitcher,70,70
Tanner Banks,50,50,50,50,L,Pitcher,50,60
Tanner Houck,70,60,0,0,R,Pitcher,70,70
Tanner Rainey,60,60,0,0,R,Pitcher,60,70
Tanner Scott,60,60,0,0,L,Pitcher,50,70
Tarik Skubal,60,50,50,60,L,Pitcher,60,70
Taylor Clarke,60,50,0,60,R,Pitcher,70,60
Taylor Hearn,60,50,0,40,L,Pitcher,70,70
Taylor Rogers,60,50,0,0,L,Pitcher,60,50
Tim Hill,60,50,0,0,L,Pitcher,70,50
Tim Mayza,60,50,0,0,L,Pitcher,60,60
Tommy Henry,60,40,40,60,L,Pitcher,60,50
Tommy Nance,70,60,80,0,R,Pitcher,70,70
Tony Gonsolin,60,50,50,0,R,Pitcher,60,50
Trent Thornton,60,60,60,0,R,Pitcher,50,50
Trevor Gott,60,0,60,0,R,Pitcher,40,40
Trevor Kelley,50,0,60,60,R,Pitcher,60,60
Trevor Megill,60,70,70,0,R,Pitcher,80,70
Trevor Richards,60,0,40,60,R,Pitcher,60,50
Trevor Rogers,60,40,0,60,L,Pitcher,70,60
Trevor Stephan,60,60,0,0,R,Pitcher,70,60
Trevor Williams,60,50,40,50,R,Pitcher,60,70
Triston McKenzie,60,50,60,0,R,Pitcher,70,30
Tucker Davidson,60,60,50,0,L,Pitcher,60,60
Ty Blach,60,0,50,60,L,Pitcher,50,60
Tyler Alexander,60,50,0,50,L,Pitcher,60,50
Tyler Anderson,60,0,0,60,L,Pitcher,60,60
Tyler Beede,60,50,60,60,R,Pitcher,60,60
Tyler Danish,70,0,50,60,R,Pitcher,50,50
Tyler Duffey,60,0,60,0,R,Pitcher,60,60
Tyler Gilbert,60,0,60,0,L,Pitcher,60,60
Tyler Mahle,60,50,0,0,R,Pitcher,60,60
Tyler Matzek,60,60,0,0,L,Pitcher,60,70
Tyler Rogers,60,50,0,0,R,Pitcher,60,40
Tyler Wells,60,50,50,50,R,Pitcher,80,80
Tylor Megill,60,60,0,60,R,Pitcher,80,70
Victor Arano,60,50,0,0,R,Pitcher,60,60
Vince Velasquez,60,50,50,50,R,Pitcher,60,60
Vladimir Gutierrez,60,60,60,40,R,Pitcher,50,50
Wade Miley,60,40,0,60,L,Pitcher,60,60
Walker Buehler,60,60,60,50,R,Pitcher,60,40
Wandy Peralta,60,50,0,60,L,Pitcher,50,60
Wil Crowe,60,60,0,50,R,Pitcher,60,70
Will Smith,60,40,50,0,L,Pitcher,40,50
Will Smith,60,40,50,0,L,Pitcher,70,80
Will Vest,60,60,0,60,R,Pitcher,50,40
Wily Peralta,60,50,0,0,R,Pitcher,50,80
Wyatt Mills,60,50,0,0,R,Pitcher,70,60
Yimi Garcia,60,50,50,60,R,Pitcher,50,70
Yohan Ramirez,60,60,0,0,R,Pitcher,70,60
Yu Darvish,60,70,0,0,R,Pitcher,70,60
Yunior Marte,60,50,0,0,R,Pitcher,60,40
Yusei Kikuchi,70,50,0,40,L,Pitcher,50,50
Zac Gallen,60,0,60,60,R,Pitcher,60,50
Zach Davies,50,0,60,50,R,Pitcher,50,40
Zach Eflin,60,0,50,50,R,Pitcher,70,60
Zach Jackson,60,50,0,0,R,Pitcher,70,70
Zach Logue,60,0,40,60,L,Pitcher,50,30
Zach Plesac,60,40,40,40,R,Pitcher,60,60
Zach Pop,70,60,0,0,R,Pitcher,70,60
Zach Thompson,60,0,50,60,R,Pitcher,80,70
Zack Greinke,50,50,60,60,R,Pitcher,60,50
Zack Littell,60,50,0,0,R,Pitcher,70,60
Zack Thompson,60,0,60,50,L,Pitcher,60,60
Zack Wheeler,60,50,60,0,R,Pitcher,70,50
