Name,Pos,Age,Frame,Athl,Levers,Arm,Perf,Delivery,playerId
Jorbit Vivas,2B,21.5833333,-1,1,Short,40,1,,sa3005511
Justin Campbell,SP,21.6527777,2,,Long,,,1,
Miguel Vargas,3B,22.8944444,-1,-1,Med,45,1,,20178
Rayne Doncon,2B,19.0472222,1,1,Med,40,,,sa3016720
Michael Grove,SP,25.8083333,,,Short,,,2,23221
Landon Knack,SP,25.7333333,-1,1,Long,,1,1,sa3014518
Edgardo Henriquez,SP,20.2916666,2,,Long,,,,sa3009613
Dalton Rushing,C,21.6333333,1,1,Short,30,1,,sa3019892
Jacob Amaya,SS,24.1,-1,1,Short,50,1,,sa3005081
Andre Jackson,SP,26.4388888,,1,Long,,1,,21298
Kameron Misner,CF,24.7527777,,1,Med,55,,,sa3011656
Mason Montgomery,SP,22.3111111,1,1,Med,,1,1,sa3017306
Willy Vasquez,CF,21.0916666,1,,Short,60,,,sa3011821
Carson Williams,SS,19.2888888,1,1,Long,70,,,sa3017795
Ethan Wilson,LF,22.9222222,,-1,Short,50,1,,sa3017329
Cole Wilcox,SP,23.2361111,1,-1,Med,,-1,-1,sa3014443
Hans Crouse,MIRP,24.0666666,-1,,Long,,1,-1,22192
Ian Seymour,MIRP,23.8222222,-1,1,Long,,2,-1,sa3014512
Luis Garcia,SS,21.9666666,-1,1,Short,60,,,sa3007295
Sandy Gaston,SIRP,20.8138888,2,,Med,,,-1,sa3011136
Yanquiel Fernandez,LF,19.7722222,2,1,Med,40,1,,sa3015648
Victor Juarez,SP,19.3055555,,1,Med,,1,1,sa3016226
Dyan Jorge,CF,19.5583333,1,1,Long,60,,,sa3018387
Sterling Thompson,RF,21.2861111,1,,Med,55,1,,
Blaze Jordan,1B,19.8055555,-2,-1,Med,50,2,,sa3014537
Sam Weatherly,SIRP,23.3638888,1,2,Long,,-1,,sa3014455
Bryan Mata,MIRP,23.4333333,-1,-1,Med,,1,-2,sa917784
Jaden Hill,MIRP,22.7972222,1,1,Med,,-1,-1,sa3019731
Tyler McDonough,CF,23.5194444,,,Short,30,,,sa3016869
Juan Brito,2B,21.0416666,,,Short,40,,,sa3009808
Thad Ward,MIRP,25.7305555,1,1,Long,,-1,-1,sa3008098
Eddinson Paulino,3B,20.2694444,,,Short,60,1,,sa3009538
David Hamilton,SS,25.0277777,-1,1,Med,45,,,sa3014434
Noah Song,SP,25.3638888,,2,Short,,-1,,sa3011695
Joe Mack,C,19.7833333,1,1,Med,60,,,sa3017374
Nasim Nunez,SS,22.1416666,,2,Short,60,,,sa3010695
Sixto Sanchez,SP,24.1944444,-1,1,Short,,,-1,19680
Kahlil Watson,SS,19.4805555,,2,Short,45,,,sa3017513
Jacob Miller,SP,19.1638888,,,,,,,
Anthony Solometo,SP,19.8527777,1,1,Long,,1,1,sa3018259
Kyle Nicolas,SIRP,23.6305555,1,,Long,,1,,sa3014523
Dariel Lopez,3B,20.6722222,,,Med,60,,,sa3008901
Colin Holderman,SIRP,27.0027777,1,,Long,,1,,22361
Maikol Escotto,2B,20.3472222,,1,Short,60,,,sa3008878
Rodolfo Nolasco,RF,21.0444444,1,,Long,55,,,sa3008907
J.C. Flowers,SIRP,24.3888888,2,1,Med,,,,sa3011493
Ricky DeVito,SIRP,24.1333333,,-1,Med,,,-1,sa1116003
Lonnie White Jr.,CF,19.775,,1,Med,50,-1,,sa3017628
Kumar Rocker,SP,22.8805555,,1,Long,,1,1,
Aaron Zavala,RF,22.2916666,,-1,Med,40,2,,sa3017665
A.J. Alexy,SIRP,24.4666666,1,,Long,,,-1,22343
Maximo Acosta,SS,19.9444444,,1,Short,50,1,,sa3014711
Dane Acker,SP,23.5222222,,,Med,,,,sa3014924
Antoine Kelly,SIRP,22.8444444,2,1,Long,,,,sa3011135
Ryan Kreidler,SS,24.9083333,-1,-1,Med,55,1,,25867
Gage Workman,SS,22.9583333,2,1,Long,55,-2,,sa3014441
Wilmer Flores,SIRP,21.6361111,1,-1,Long,,,,sa3015223
Freddy Zamora,SS,23.9388888,-1,2,Med,55,1,,sa3014500
Abner Uribe,SIRP,22.3027777,1,2,Long,,,1,sa3008177
Eduardo Garcia,SS,20.2472222,1,2,Long,60,1,,sa3008751
Hayden Wesneski,SP,24.8444444,,,Short,,1,,27581
Reginald Preciado,3B,19.3972222,2,,Long,45,,,sa3014702
Ben Leeper,SIRP,25.3166666,,,Med,,1,,sa3014907
Ryan Jensen,MIRP,24.8777777,,2,Long,,,-1,sa3011496
Brailyn Marquez,SIRP,23.6916666,-1,-1,Med,,,-2,21896
Ryan Clifford,LF,19.2194444,1,,Med,40,1,,sa3020126
Zac Leigh,MIRP,24.9027777,1,1,Short,,2,,sa3017873
Jayden Murray,SP,25.4944444,,1,Med,,2,,sa1170405
Daniel Palencia,SP,22.6777777,-1,,Long,,,,sa3015122
David Hensley,3B,26.5305555,1,,Long,50,1,,25111
Drew Gray,SP,19.4166666,2,1,Long,,,2,sa3017964
Joe Perez,3B,23.1583333,1,,Med,70,-1,,22254
Christian Franklin,CF,22.8583333,,,Med,45,1,,sa3017510
Samuel Zavala,RF,18.2333333,1,1,Short,60,1,,sa3015718
Adam Mazur,SP,21.4694444,,1,Long,,,1,
Robby Snelling,SP,18.8055555,1,1,Long,,1,-2,
Gabriel Martinez,RF,21.2083333,-1,,Med,60,1,,sa3008865
Jay Groome,SP,24.1277777,-1,,Long,,-2,,sa917925
CJ Van Eyk,SP,24.0666666,,1,Med,,,-1,sa3014713
